Food code;Main food description;WWEIA Category number;WWEIA Category description;Energy;Protein;Carbohydrate;Total Fat;Calcium;Iron
92191100;Coffee, instant, not reconstituted;9999;Not included in a food category;353;12,2;75,4;0,5;141;4,41
92191200;Coffee, instant, decaffeinated, not reconstituted;9999;Not included in a food category;351;11,6;76;0,2;140;3,8
92191400;Coffee, instant, pre-sweetened with sugar, not reconstituted;9999;Not included in a food category;392;2,36;94,92;0,36;28;0,89
92193000;Coffee, instant, pre-lightened and pre-sweetened with sugar, not reconstituted;9999;Not included in a food category;438;2,4;82,96;11,29;19;0,68
92193005;Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, not reconstituted;9999;Not included in a food category;465;0;86,28;13,33;0;0
92193025;Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted;9999;Not included in a food category;457;4,22;68,16;20,14;34;1,05
92201010;Coffee substitute;7302;Coffee;6;0,1;1,3;0,04;4;0,08
92202010;Chicory beverage;7302;Coffee;7;0,22;1,42;0;6;0,07
92302000;Tea, hot, leaf, black;7304;Tea;1;0;0,3;0;0;0,02
92302500;Tea, hot, leaf, black, decaffeinated;7304;Tea;1;0;0,3;0;0;0,02
92303010;Tea, hot, leaf, green;7304;Tea;1;0,22;0;0;0;0,02
92303100;Tea, hot, leaf, green, decaffeinated;7304;Tea;0;0;0;0;0;0
92304100;Tea, hot, leaf, oolong;7304;Tea;1;0;0,15;0;1;0
92305010;Tea, iced, instant, black, unsweetened;7304;Tea;1;0,02;0,23;0;3;0
92305040;Tea, iced, instant, black, pre-sweetened with sugar;7304;Tea;30;0,01;7,31;0,05;3;0,02
92305050;Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar;7304;Tea;32;0,06;7,89;0,02;3;0,01
92305090;Tea, iced, instant, black, pre-sweetened with low calorie sweetener;7304;Tea;2;0,02;0,44;0;3;0,05
92305110;Tea, iced, instant, black, decaffeinated, pre-sweetened with low calorie sweetener;7304;Tea;3;0,03;0,72;0;3;0,07
92305180;Tea, iced, instant, black, decaffeinated, unsweetened;7304;Tea;1;0,06;0,17;0;3;0,01
92305900;Tea, iced, instant, green, unsweetened;7304;Tea;0;0;0;0;1;0
92305910;Tea, iced, instant, green, pre-sweetened with sugar;7304;Tea;27;0;6,2;0,22;1;0
92305920;Tea, iced, instant, green, pre-sweetened with low calorie sweetener;7304;Tea;4;0;0,93;0;1;0
92306000;Tea, hot, herbal;7304;Tea;1;0;0,2;0;2;0,08
92306090;Tea, hot, hibiscus;7304;Tea;0;0;0;0;8;0,08
92306100;Corn beverage;7220;Smoothies and grain drinks;44;0,84;9,4;0,21;3;0,49
92306700;Tea, hot, chamomile;7304;Tea;1;0;0,2;0;2;0,08
92306800;Tea, hot, with milk;7304;Tea;51;1,58;8,95;1,05;60;0,02
92306850;Tea, ginger;7304;Tea;1;0,02;0,18;0,01;3;0,01
92306910;Tea, bubble;7304;Tea;55;0,39;10,35;1,39;15;0,13
92306920;Tea, kombucha;7304;Tea;16;0,1;3,98;0,01;0;0,01
92307000;Tea, iced, instant, black, unsweetened, dry;9999;Not included in a food category;315;20,21;58,66;0;118;2,26
92307400;Tea, iced, instant, black, pre-sweetened, dry;9999;Not included in a food category;401;0,12;98,55;0,73;2;0,21
92307500;Iced Tea / Lemonade juice drink;7304;Tea;34;0,2;9,15;0,05;4;0,04
92307510;Iced Tea / Lemonade juice drink, light;7304;Tea;21;0,22;6,12;0,04;5;0,04
92307520;Iced Tea / Lemonade juice drink, diet;7304;Tea;2;0;0,57;0;6;0
92308000;Tea, iced, brewed, black, pre-sweetened with sugar;7304;Tea;32;0;7,94;0,02;0;0,02
92308010;Tea, iced, brewed, black, pre-sweetened with low calorie sweetener;7304;Tea;2;0;0,68;0;0;0,02
92308020;Tea, iced, brewed, black, unsweetened;7304;Tea;1;0;0,3;0;0;0,02
92308030;Tea, iced, brewed, black, decaffeinated, pre-sweetened with sugar;7304;Tea;32;0;7,94;0,02;0;0,02
92308040;Tea, iced, brewed, black, decaffeinated, pre-sweetened with low calorie sweetener;7304;Tea;2;0;0,68;0;0;0,02
92308050;Tea, iced, brewed, black, decaffeinated, unsweetened;7304;Tea;1;0;0,3;0;0;0,02
92308500;Tea, iced, brewed, green, pre-sweetened with sugar;7304;Tea;32;0,2;7,66;0,02;0;0,02
92308510;Tea, iced, brewed, green, pre-sweetened with low calorie sweetener;7304;Tea;2;0,22;0,38;0;0;0,02
92308520;Tea, iced, brewed, green, unsweetened;7304;Tea;1;0,22;0;0;0;0,02
92308530;Tea, iced, brewed, green, decaffeinated, pre-sweetened with sugar;7304;Tea;31;0;7,66;0,02;0;0
92308540;Tea, iced, brewed, green, decaffeinated, pre-sweetened with low calorie sweetener;7304;Tea;1;0;0,38;0;0;0
92308550;Tea, iced, brewed, green, decaffeinated, unsweetened;7304;Tea;0;0;0;0;0;0
92309000;Tea, iced, bottled, black;7304;Tea;45;0;10,8;0,22;4;0
92309010;Tea, iced, bottled, black, decaffeinated;7304;Tea;38;0;8,75;0;11;0
92309020;Tea, iced, bottled, black, diet;7304;Tea;1;0;0,22;0;0;0
92309030;Tea, iced, bottled, black, decaffeinated, diet;7304;Tea;0;0;0,83;0;11;0
92309040;Tea, iced, bottled, black, unsweetened;7304;Tea;0;0;0;0;0;0
92309050;Tea, iced, bottled, black, decaffeinated, unsweetened;7304;Tea;1;0;0,3;0;0;0,02
92309500;Tea, iced, bottled, green;7304;Tea;27;0;6,2;0,22;1;0
92309510;Tea, iced, bottled, green, diet;7304;Tea;4;0;0,93;0;1;0
92309520;Tea, iced, bottled, green, unsweetened;7304;Tea;0;0;0;0;1;0
